ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
9780001,Python pour Débutants,M. Alaoui,2020,FST Press,,,
9780002,Data Mining Concepts,J. Han,2019,Academic Press,,,
9780003,Machine Learning avec Python,A. Géron,2021,OReilly,,,
9780004,Base de Données SQL,K. Bennis,2018,Campus,,,
9780005,Réseaux Informatiques Cisco,N. Tazi,2022,NetworkLab,,,
9780006,Cybersécurité Fondamentale,S. Amrani,2021,SecureBooks,,,
9780007,Développement Web Laravel,Y. El Fassi,2023,WebPress,,,
9780008,Java Programmation Orientée Objet,R. Martin,2017,CodeBooks,,,
9780009,Intelligence Artificielle,P. Russell,2020,AI House,,,
9780010,Statistiques pour Data Science,L. Cohen,2019,MathPress,,,
9780011,Systèmes d Exploitation Linux,H. Benali,2022,OpenSource,,,
9780012,Analyse et Conception UML,D. Robert,2018,SoftwarePress,,,
